cockroachdb/cockroach-unstable,v23.2.0-alpha.6,2023/11/08,16,11,0,0,0,27
airbyte/source-tiktok-marketing,3.9.2,2023/11/02,64,21,8,1,0,94
rancher/mirrored-elemental-seedimage-builder,1.3.4,2023/09/12,null
balenalib/revpi-core-3-python,20230530,2023/06/27,118,37,40,6,0,201
newrelic/k8s-nri-redis,1.4.0,2020/01/17,null
rapidfort/consul-official,1.16,2023/10/31,null
docker/dtr-s390x,2.4.12,2019/05/06,9,33,53,11,0,106
balenalib/odroid-xu4-ubuntu-node,20231026,2023/11/02,38,10,1,0,0,49
rapidfort/traefik,v2.9.10,2023/04/06,0,9,4,0,0,13
intel/esp-dyn-profile,v3.1.2,2023/07/25,null
onlyoffice/gdrive-builder,1.0.0-rc15,2023/09/18,0,4,7,0,0,11
objectscale/fabric-proxy,0.71.3,2021/04/05,2,17,23,0,0,42
balenalib/i386-nlp-debian-openjdk,20210225,2021/04/19,242,240,159,48,10,699
objectscale/ecs-flex-graphql,0.71.3,2021/04/14,11,33,31,1,0,76
balena/ca-private,0.0.13,2023/05/19,470,215,167,14,0,866
ubuntu/cassandra,4.0-22.04_edge,2023/05/17,38,61,10,0,0,109
rancher/hyperkube-base,v0.0.18,2023/10/16,39,34,0,0,0,73
grafana/agent-operator,v0.37.4,2023/11/06,14,4,0,0,0,18
rancher/longhornio-longhorn-ui,v1.3.1,2022/08/11,7,45,41,3,11,107
objectscale/snmp-notifier,2.114.0-264.7f91db2,2023/08/25,2,5,6,0,0,13
balenalib/generic-armv7ahf-ubuntu-node,20230904,2023/09/09,43,11,5,0,0,59
rancher/tiller,v2.11.0,2018/09/25,0,0,0,2,0,2
datadog/cws-instrumentation-dev,will-inject-k8s-user-info,2023/11/06,null
balenalib/odroid-c1-ubuntu-openjdk,20210826,2021/09/04,136,435,10,0,0,581
balenalib/spacely-tx2-ubuntu-python,20231103,2023/11/06,37,10,0,0,0,47
rancher/mirrored-kube-state-metrics-kube-state-metrics,v2.6.0,2022/08/24,0,3,4,1,0,8
balenalib/jetson-tx2-ubuntu-python,20230530,2023/06/11,54,21,4,0,0,79
intel/intelligent_traffic_management_video_inference,1.0,2022/06/17,445,1322,60,0,0,1827
docker/desktop-kubernetes-apiserver,v1.28.2,2023/09/13,0,2,4,0,0,6
bitnami/rabbitmq,3.12.8,2023/11/17,98,18,15,4,0,135
pachyderm/example-joins-inner-outer,2.1.0,2022/02/10,824,950,731,95,5,2605
airbyte/destination-databricks,1.1.0,2023/06/08,65,199,179,17,0,460
greenbone/scap-data,202311150504,2023/11/15,null
amazon/amazon-keyspaces-toolkit,0.7.8,2021/12/14,37,259,92,1,0,389
airbyte/cron,0.50.34,2023/11/09,5,72,56,0,0,133
mattermost/fleet-controller,7549599,2022/09/16,0,13,16,1,0,30
pachyderm/mount-server-arm64,97276071e371d5b1ea221437e99cfd87b5599ddf,2023/11/03,94,16,28,2,0,140
balenalib/generic-armv7ahf-fedora-openjdk,30-20210825,2021/09/03,null
atlassian/forge-tunnel,0.8.0-next.4,2020/02/11,591,831,93,6,0,1521
redislabs/redis-bionic,5.0.5,2019/06/06,93,72,2,0,0,167
