airbyte/connector-atelier-server,0.50.8,2023/07/17,null,NOT UPDATED,0,2,0,0,0,2
airbyte/connector-builder,0.40.17,2022/10/25,null,NOT UPDATED,0,1,0,0,0,1
airbyte/connector-builder-server,0.50.34,2023/11/09,null,NOT UPDATED,0,2,0,0,0,2
airbyte/connector-builder-server-wrapped,dev-9895397664,2023/08/19,null,NOT UPDATED,0,2,0,0,0,2
airbyte/container-orchestrator,0.50.34,2023/11/09,null,NOT UPDATED,0,2,0,0,0,2
airbyte/cron,0.50.34,2023/11/09,null,NOT UPDATED,0,2,0,0,0,2
airbyte/custom-transformation-prep,1.0,2023/05/12,null,NOT UPDATED,0,1,4,0,0,5
airbyte/db,0.50.34,2023/11/09,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/destination-amazon-sqs,0.1.0,2021/12/09,null,NOT UPDATED,0,0,0,0,0,0
airbyte/destination-aws-datalake,0.1.4,2023/10/25,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-azure-blob-storage,0.2.1,2023/09/21,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-bigquery,2.3.15,2023/11/14,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-bigquery-denormalized,2.0.0,2023/07/15,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-bitdotio,0.1.0,2022/10/14,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-cassandra,0.1.4,2022/08/26,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-chroma,0.0.5,2023/10/27,null,NOT UPDATED,2,1,0,0,0,3
airbyte/destination-clickhouse,0.2.5,2023/06/23,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-clickhouse-strict-encrypt,0.2.5,2023/06/23,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-convex,0.2.0,2023/05/24,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/destination-csv,1.0.0,2023/01/10,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-cumulio,0.1.0,2023/04/20,null,NOT UPDATED,3,5,6,0,0,14
airbyte/destination-databend,0.1.2,2023/03/27,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/destination-databricks,1.1.0,2023/06/08,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-dev-null,0.3.0,2023/05/16,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-doris,0.1.0,2022/11/14,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-duckdb,0.3.0,2023/10/24,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-dynamodb,0.1.7,2022/11/03,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-e2e-test,0.3.0,2023/05/15,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-elasticsearch,0.1.6,2022/10/26,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-elasticsearch-strict-encrypt,0.1.6,2022/10/26,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-exasol,0.1.1,2023/02/22,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-firebolt,0.1.0,2022/06/27,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-firestore,0.1.1,2021/11/21,null,NOT UPDATED,0,0,0,0,0,0
airbyte/destination-gcs,0.4.4,2023/07/15,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-google-sheets,0.2.3,2023/09/25,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-heap-analytics,0.1.0,2023/01/04,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/destination-iceberg,0.1.4,2023/07/27,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-jdbc,0.3.14,2022/06/17,null,NOT UPDATED,0,3,0,0,0,3
airbyte/destination-kafka,0.1.10,2022/08/04,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-keen,0.2.4,2022/08/04,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-kinesis,0.1.5,2022/09/22,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-langchain,0.1.1,2023/09/11,null,NOT UPDATED,2,2,0,0,0,4
airbyte/destination-listen-and-echo,dev,2021/05/21,null,NOT UPDATED,0,0,0,0,0,0
airbyte/destination-local-json,0.2.11,2022/07/12,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-mariadb-columnstore,0.1.7,2022/09/09,null,NOT UPDATED,0,3,0,0,0,3
airbyte/destination-meilisearch,1.0.0,2022/10/27,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/destination-milvus,0.0.9,2023/11/13,null,NOT UPDATED,2,2,0,0,0,4
airbyte/destination-milvus-preview,dev,2023/08/31,null,NOT UPDATED,2,2,0,0,0,4
airbyte/destination-mongodb,0.2.0,2023/07/27,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-mongodb-strict-encrypt,0.2.0,2023/07/26,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-mqtt,0.1.3,2022/09/07,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-mssql,0.2.0,2023/07/27,null,NOT UPDATED,0,3,0,0,0,3
airbyte/destination-mssql-strict-encrypt,0.2.0,2023/07/26,null,NOT UPDATED,0,3,0,0,0,3
airbyte/destination-mysql,0.2.0,2023/06/29,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-mysql-strict-encrypt,0.2.0,2023/06/29,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-oracle,0.2.0,2023/06/29,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-oracle-strict-encrypt,0.2.0,2023/06/29,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-pinecone,0.0.20,2023/11/13,null,NOT UPDATED,2,2,0,0,0,4
airbyte/destination-postgres,0.4.0,2023/06/29,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-postgres-strict-encrypt,0.4.0,2023/06/29,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-pubsub,0.2.0,2022/12/02,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-pulsar,0.1.3,2022/08/05,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-qdrant,0.0.7,2023/11/13,null,NOT UPDATED,2,1,0,0,0,3
airbyte/destination-qdrant-preview,dev,2023/08/31,null,NOT UPDATED,2,2,0,0,0,4
airbyte/destination-r2,0.1.0,2022/09/26,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-rabbitmq,0.1.1,2022/09/09,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/destination-redis,0.1.4,2022/10/31,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-redpanda,0.1.0,2022/11/14,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-redshift,0.6.10,2023/11/09,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-rockset,0.1.4,2022/08/08,null,NOT UPDATED,0,3,0,0,0,3
airbyte/destination-s3,1.0.0,2023/01/13,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-s3-glue,0.1.7,2023/05/04,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-scylla,0.1.3,2022/08/09,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-selectdb,0.1.0,2023/04/05,null,NOT UPDATED,0,1,0,0,0,1
airbyte/destination-sftp-json,0.1.0,2021/11/24,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-snowflake,3.4.10,2023/11/08,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-snowflake-bulk,3.2.3-dev.cc832795bb,2023/11/14,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-sqlite,0.1.0,2022/08/09,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/destination-starburst-galaxy,0.0.1,2023/04/21,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-teradata,0.1.3,2023/09/25,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-tidb,0.1.4,2023/06/23,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-timeplus,0.1.0,2023/06/14,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/destination-typesense,0.1.1,2023/08/23,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/destination-vertica,0.1.0,2023/05/31,null,NOT UPDATED,0,2,0,0,0,2
airbyte/destination-weaviate,0.2.9,2023/11/13,null,NOT UPDATED,2,2,0,0,0,4
airbyte/destination-weaviate-preview,dev2,2023/09/18,null,NOT UPDATED,2,3,0,0,0,5
airbyte/destination-xata,0.1.1,2023/06/21,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/destination-yugabytedb,0.1.1,2023/03/17,null,NOT UPDATED,0,2,0,0,0,2
airbyte/dst-sf-perf,18,2023/03/22,null,NOT UPDATED,0,2,0,0,0,2
airbyte/gitx,90f68c3,2023/02/20,null,NOT UPDATED,0,0,2,0,0,2
airbyte/init,0.50.34,2023/11/09,null,NOT UPDATED,0,0,0,0,0,0
airbyte/integration-base,0.1.0,2023/01/18,null,NOT UPDATED,0,0,0,0,0,0
airbyte/integration-base-java,20230210,2023/02/10,null,NOT UPDATED,0,0,0,0,0,0
airbyte/integration-base-python,20230210,2023/02/10,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/integration-base-singer,0.1.2,2021/08/02,null,NOT UPDATED,0,1,-1,0,0,0
airbyte/integration-singer-bigquery-destination,0.1.4,2020/10/07,null,NOT UPDATED,0,0,0,0,0,0
airbyte/integration-singer-csv-destination,0.1.1,2020/10/07,null,NOT UPDATED,0,1,-1,0,0,0
airbyte/integration-singer-exchangeratesapi_io-source,0.1.3,2020/10/07,null,NOT UPDATED,0,0,0,0,0,0
airbyte/integration-singer-postgres-destination,0.1.2,2020/10/08,null,NOT UPDATED,0,1,-1,0,0,0
airbyte/integration-singer-postgres-source,0.1.3,2020/10/07,null,NOT UPDATED,0,1,-1,0,0,0
airbyte/integration-singer-stripe-source,0.1.2,2020/10/07,null,NOT UPDATED,0,0,0,0,0,0
airbyte/java-datadog-tracer-base,3.2,2022/10/07,null,NOT UPDATED,0,0,0,0,0,0
airbyte/keycloak,0.50.34,2023/11/09,null,NOT UPDATED,0,1,0,0,0,1
airbyte/keycloak-setup,0.50.34,2023/11/09,null,NOT UPDATED,0,0,0,0,0,0
airbyte/kpy-test,1,2021/05/20,null,NOT UPDATED,0,1,-1,0,0,0
airbyte/metrics-reporter,0.50.34,2023/11/09,null,NOT UPDATED,0,1,0,0,0,1
airbyte/migration,0.33.0-alpha,2021/12/03,null,NOT UPDATED,0,2,-1,0,0,1
airbyte/mirrored-keycloak,21.1,2023/06/28,null,NOT UPDATED,0,1,0,0,0,1
airbyte/mirrored-keycloak-amd,21.1,2023/06/28,null,NOT UPDATED,0,1,0,0,0,1
airbyte/mirrored-keycloak-arm,21.1,2023/06/28,null,NOT UPDATED,0,1,0,0,0,1
airbyte/mssql_ssltest,dev,2021/05/12,null,NOT UPDATED,-5,11,0,0,0,6
airbyte/normalization,0.6.1-alpha,2020/12/04,null,NOT UPDATED,0,1,-1,0,0,0
airbyte/normalization-clickhouse,0.4.3,2023/05/12,null,NOT UPDATED,0,0,4,0,0,4
airbyte/normalization-duckdb,0.4.3,2023/05/12,null,NOT UPDATED,0,1,4,0,0,5
airbyte/normalization-mssql,0.4.3,2023/05/12,null,NOT UPDATED,0,1,4,0,0,5
airbyte/normalization-mysql,0.4.3,2023/05/12,null,NOT UPDATED,0,1,4,0,0,5
airbyte/normalization-oracle,0.4.3,2023/05/12,null,NOT UPDATED,0,2,-1,0,0,1
airbyte/normalization-redshift,0.4.3,2023/05/12,null,NOT UPDATED,0,1,4,0,0,5
airbyte/normalization-snowflake,0.4.3,2023/05/12,null,NOT UPDATED,0,1,4,0,0,5
airbyte/normalization-tidb,0.4.3,2023/05/12,null,NOT UPDATED,0,1,4,0,0,5
airbyte/np-dest,dev,2021/05/21,null,NOT UPDATED,0,-1,1,0,0,0
airbyte/np-src,dev,2021/05/21,null,NOT UPDATED,0,0,0,0,0,0
airbyte/octavia-cli,0.50.7,2023/07/11,null,NOT UPDATED,0,0,1,0,0,1
airbyte/postgres-singer-source-abprotocol,0.1.0,2020/10/20,null,NOT UPDATED,0,1,-1,0,0,0
airbyte/proxy,0.51.0,2023/07/20,null,NOT UPDATED,1,1,1,0,0,3
airbyte/python-connector-base,1.2.0,2023/10/30,null,NOT UPDATED,2,2,1,0,0,5
airbyte/scheduler,0.101.0-alpha,2021/06/04,null,NOT UPDATED,0,1,-1,0,0,0
airbyte/secrets-migration,dev-28,2021/10/19,null,NOT UPDATED,0,2,-1,0,0,1
airbyte/seed,0.101.0-alpha,2021/06/03,null,NOT UPDATED,0,0,0,0,0,0
airbyte/server,0.50.34,2023/11/09,null,NOT UPDATED,0,2,0,0,0,2
airbyte/source-acceptance-test,0.5.0,2023/01/30,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-activecampaign,0.1.0,2022/10/27,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-adjust,0.1.0,2022/09/21,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-aha,0.3.1,2023/06/05,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-aircall,0.2.0,2023/07/27,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-airtable,4.1.5,2023/10/19,null,NOT UPDATED,0,2,0,0,0,2
airbyte/source-alloydb,3.1.8,2023/09/20,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-alloydb-strict-encrypt,3.1.5,2023/08/23,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-alpha-vantage,0.1.1,2023/01/05,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-always-works-shim,dev,2021/05/18,null,NOT UPDATED,0,1,-1,0,0,0
airbyte/source-amazon-ads,3.4.1,2023/10/15,null,NOT UPDATED,0,2,0,0,0,2
airbyte/source-amazon-seller-partner,1.6.2,2023/11/14,null,NOT UPDATED,0,2,0,0,0,2
airbyte/source-amazon-sqs,0.1.0,2021/10/26,null,NOT UPDATED,0,0,0,0,0,0
airbyte/source-amplitude,0.3.6,2023/10/24,null,NOT UPDATED,0,2,0,0,0,2
airbyte/source-apify-dataset,2.1.0,2023/10/13,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-appfollow,1.0.0,2023/08/21,null,NOT UPDATED,0,0,1,0,0,1
airbyte/source-apple-search-ads,0.1.1,2023/07/11,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-appsflyer,0.1.0,2022/11/29,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-appsflyer-singer,0.1.3,2021/07/06,null,NOT UPDATED,0,1,-1,0,0,0
airbyte/source-appstore-singer,0.2.6,2021/12/23,null,NOT UPDATED,0,0,0,0,0,0
airbyte/source-asana,0.6.1,2023/11/13,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-ashby,0.1.0,2022/10/28,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-auth0,0.5.1,2023/10/20,null,NOT UPDATED,0,2,0,0,0,2
airbyte/source-aws-cloudtrail,0.1.5,2023/02/28,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-azure-blob-storage,0.2.3,2023/11/13,null,NOT UPDATED,2,2,1,0,0,5
airbyte/source-azure-table,0.1.3,2022/10/18,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-babelforce,0.2.0,2023/08/24,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-bamboo-hr,0.2.2,2022/10/06,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-bigcommerce,0.2.0,2023/09/15,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-bigquery,0.3.0,2023/06/29,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-bing-ads,1.13.0,2023/11/14,null,NOT UPDATED,0,2,0,0,0,2
airbyte/source-braintree,0.2.1,2023/11/08,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-braintree-singer,0.2.3,2021/07/06,null,NOT UPDATED,0,1,-1,0,0,0
airbyte/source-braze,0.3.0,2023/11/04,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-breezometer,0.1.0,2022/11/08,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-callrail,0.1.0,2022/11/15,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-captain-data,0.1.0,2023/07/25,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-cart,0.2.1,2023/02/23,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-chargebee,0.2.5,2023/10/15,null,NOT UPDATED,0,2,0,0,0,2
airbyte/source-chargify,0.4.0,2023/10/16,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-chartmogul,1.0.0,2023/11/09,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-clickhouse,0.1.17,2023/03/22,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-clickhouse-strict-encrypt,0.1.17,2023/03/22,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-clickup-api,0.1.1,2023/03/21,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-clockify,0.3.0,2023/08/31,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-close-com,0.4.3,2023/11/10,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-cockroachdb,0.1.22,2023/03/22,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-cockroachdb-strict-encrypt,0.1.22,2023/03/22,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-coda,1.2.0,2023/08/25,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-coin-api,0.1.1,2023/01/05,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-coingecko-coins,0.1.0,2022/11/18,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-coinmarketcap,0.1.1,2022/11/01,null,NOT UPDATED,0,2,-2,0,0,0
airbyte/source-commcare,0.1.0,2023/01/05,null,NOT UPDATED,0,1,0,0,0,1
airbyte/source-commercetools,0.2.0,2023/08/24,null,NOT UPDATED,0,2,-2,0,0,0
