php:8.2.12-zts-bullseye.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
couchbase:community-7.0.2.Dockerfile,4,AVD-DS-0002,AVD-DS-0026,AVD-DS-0029,AVD-DS-0029
storm:2.4.0-temurin.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
eclipse-temurin:8u392-b08-jdk-windowsservercore-ltsc2022.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
jetty:9.4.53-jdk17-alpine-amazoncorretto.Dockerfile,1,AVD-DS-0026
websphere-liberty:full-java8-ibmjava.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
haproxy:2.9-dev9.Dockerfile,1,AVD-DS-0026
unit:1.31.1-minimal.Dockerfile,3,AVD-DS-0002,AVD-DS-0013,AVD-DS-0026
jruby:9.3.13-jdk8.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
backdrop:1.26.1.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
mongo:5.0.22-focal.Dockerfile,3,AVD-DS-0002,AVD-DS-0026,AVD-DS-0029
postgres:11.22-alpine3.17.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
haxe:4.0.5-bullseye.Dockerfile,6,AVD-DS-0002,AVD-DS-0013,AVD-DS-0013,AVD-DS-0026,AVD-DS-0029,AVD-DS-0029
drupal:7.98-php8.0-apache-bullseye.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
tomcat:9.0.82-jdk8-temurin-jammy.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
composer:2.4.4.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
elixir:1.13.4-otp-23-slim.Dockerfile,3,AVD-DS-0002,AVD-DS-0013,AVD-DS-0026
maven:3.9.5-eclipse-temurin-8-alpine.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
nginx:1.25.3.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
perl:5.38.0-slim-threaded-buster.Dockerfile,3,AVD-DS-0002,AVD-DS-0013,AVD-DS-0026
ibm-semeru-runtimes:open-17.0.8.1_1-jdk-jammy.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
haxe:4.2.5-windowsservercore-ltsc2022.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
tomcat:9.0.82-jre17-temurin-focal.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
php:8.2.12-cli-bullseye.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
hylang:0.27.0-python3.10-bullseye.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
rethinkdb:2.4.2.Dockerfile,3,AVD-DS-0002,AVD-DS-0026,AVD-DS-0029
jruby:9.3.13-jdk11.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
php:8.3.0RC5-zts-alpine3.17.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
eclipse-temurin:8u392-b08-jdk-jammy.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
gradle:7.6.3-jdk17-focal.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
jetty:9.4.53-jre11.Dockerfile,1,AVD-DS-0026
buildpack-deps:unstable-curl.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
neo4j:4.4.27-enterprise.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
unit:1.31.1-php8.2.Dockerfile,3,AVD-DS-0002,AVD-DS-0013,AVD-DS-0026
clojure:temurin-17-boot-2.8.3-bookworm.Dockerfile,3,AVD-DS-0002,AVD-DS-0026,AVD-DS-0029
bash:5.0.18.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
satosa:8.2.0-alpine3.16.Dockerfile,1,AVD-DS-0026
haxe:4.1.5-windowsservercore-1809.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
lightstreamer:7.0.3-jdk8-temurin.Dockerfile,3,AVD-DS-0013,AVD-DS-0026,AVD-DS-0029
geonetwork:3.12.11.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
eclipse-temurin:21.0.1_12-jre-nanoserver-ltsc2022.Dockerfile,1,AVD-DS-0026
maven:3.9.5-ibmjava-8.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
unit:1.31.1-jsc11.Dockerfile,3,AVD-DS-0002,AVD-DS-0013,AVD-DS-0026
perl:5.36.1-slim-threaded.Dockerfile,3,AVD-DS-0002,AVD-DS-0013,AVD-DS-0026
joomla:4.3.4.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
clojure:temurin-11-lein-2.10.0-jammy.Dockerfile,3,AVD-DS-0002,AVD-DS-0026,AVD-DS-0029
php-zendserver:2021.0.Dockerfile,5,AVD-DS-0002,AVD-DS-0017,AVD-DS-0026,AVD-DS-0029,AVD-DS-0029
cassandra:5.0.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
python:3.13-rc-slim.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
friendica:2023.05.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
buildpack-deps:oldstable.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
eclipse-temurin:21.0.1_12-jdk-alpine.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
tomcat:10.1.15-jdk17-temurin-jammy.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
traefik:v2.10.5.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
geonetwork:3.12.11-postgres.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
swift:5.2.5-centos7.Dockerfile,3,AVD-DS-0002,AVD-DS-0015,AVD-DS-0026
elasticsearch:8.11.0.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
swift:5.5.3-amazonlinux2.Dockerfile,3,AVD-DS-0002,AVD-DS-0015,AVD-DS-0026
elixir:1.14.5-otp-25.Dockerfile,3,AVD-DS-0002,AVD-DS-0013,AVD-DS-0026
julia:1.9.3-windowsservercore-1809.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
golang:1.20.11-windowsservercore-1809.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
haxe:4.2.5-alpine3.17.Dockerfile,3,AVD-DS-0002,AVD-DS-0013,AVD-DS-0026
ruby:3.2.2-slim.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
swift:5.8.1-rhel-ubi9.Dockerfile,4,AVD-DS-0001,AVD-DS-0002,AVD-DS-0015,AVD-DS-0026
photon:4.0-20231028.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
gazebo:libgazebo11-focal.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
mysql:8.2.0.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
openjdk:22-windowsservercore-ltsc2022.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
hylang:0.27.0-python3.9-alpine3.18.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
docker:25-rc-windowsservercore-ltsc2022.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
clojure:temurin-21-lein-2.10.0-bullseye.Dockerfile,3,AVD-DS-0002,AVD-DS-0026,AVD-DS-0029
amazoncorretto:17.0.9-al2023.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
eclipse-temurin:17.0.9_9-jdk-windowsservercore-1809.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
gradle:6.9.4-jdk11-focal.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
eclipse-temurin:17.0.9_9-jre-alpine.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
nats:2.10.5-alpine3.18.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
kapacitor:1.7.1.Dockerfile,3,AVD-DS-0002,AVD-DS-0026,AVD-DS-0029
open-liberty:full-java11-openj9.Dockerfile,1,AVD-DS-0026
wordpress:cli-2.9.0-php8.1.Dockerfile,1,AVD-DS-0026
percona:psmdb-5.0.18.Dockerfile,1,AVD-DS-0026
tomcat:8.5.95.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
nats:2.9.24-scratch.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
node:21.1-alpine3.18.Dockerfile,3,AVD-DS-0002,AVD-DS-0013,AVD-DS-0026
clojure:temurin-11-lein-2.10.0-focal.Dockerfile,3,AVD-DS-0002,AVD-DS-0026,AVD-DS-0029
erlang:25.3.2.6-alpine.Dockerfile,3,AVD-DS-0002,AVD-DS-0013,AVD-DS-0026
bash:5.1.16.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
caddy:2.7.5-builder-windowsservercore-1809.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
irssi:1.4.5-alpine3.18.Dockerfile,1,AVD-DS-0026
jetty:10.0.18-jre17-alpine.Dockerfile,1,AVD-DS-0026
tomcat:8.5.95-jdk8-temurin-focal.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
joomla:5.0.0.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
open-liberty:23.0.0.9-kernel-slim-java17-openj9.Dockerfile,1,AVD-DS-0026
neurodebian:nd120-non-free.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
postgres:13.13-bullseye.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
golang:1.21.4-nanoserver-1809.Dockerfile,1,AVD-DS-0026
kong:3.1.1.Dockerfile,0
buildpack-deps:20.04-scm.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
crate:5.2.10.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
jetty:11.0.18-jre17.Dockerfile,1,AVD-DS-0026
rabbitmq:3.12.8.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
php-zendserver:8.5.Dockerfile,4,AVD-DS-0002,AVD-DS-0017,AVD-DS-0026,AVD-DS-0029
clojure:temurin-21-lein-2.10.0-jammy.Dockerfile,3,AVD-DS-0002,AVD-DS-0026,AVD-DS-0029
swift:5.7.3-amazonlinux2.Dockerfile,3,AVD-DS-0002,AVD-DS-0015,AVD-DS-0026
eclipse-temurin:8u392-b08-jdk-ubi9-minimal.Dockerfile,3,AVD-DS-0001,AVD-DS-0002,AVD-DS-0026
eclipse-temurin:11.0.21_9-jdk-windowsservercore-1809.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
jetty:12.0.3-jdk17-amazoncorretto.Dockerfile,1,AVD-DS-0026
flink:1.15.4.Dockerfile,3,AVD-DS-0002,AVD-DS-0026,AVD-DS-0029
joomla:4.4.0-php8.0-fpm.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
drupal:7.98-php8.1-fpm-alpine3.17.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
flink:1.15.4-scala_2.12-java8.Dockerfile,3,AVD-DS-0002,AVD-DS-0026,AVD-DS-0029
gradle:8.4.0-jdk11-jammy.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
php:8.3.0RC5-zts.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
debian:11.8.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
open-liberty:23.0.0.6-full-java17-openj9.Dockerfile,1,AVD-DS-0026
oraclelinux:9.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
composer:2.2.22.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
python:3.13-rc-alpine3.17.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
php:8.3.0RC5-cli-bullseye.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
swift:5.6.3-amazonlinux2-slim.Dockerfile,3,AVD-DS-0002,AVD-DS-0015,AVD-DS-0026
docker:24.0.7-cli.Dockerfile,2,AVD-DS-0002,AVD-DS-0026
geonetwork:4.2.6.Dockerfile,2,AVD-DS-0013,AVD-DS-0026
