name,version,総検出数,内包数,使用回数
apt,2.6.1,141,1,141
bash,5.2.15-2+b2,143,1,143
binutils,2.40-2,229,40,5
binutils-common,2.40-2,229,40,5
binutils-x86-64-linux-gnu,2.40-2,229,40,5
bsdutils,1:2.38.1-5+b1,141,1,141
coreutils,9.1-1,286,2,143
cpp-12,12.2.0-14,56,2,28
dirmngr,2.2.40-1.1,30,1,30
g++-12,12.2.0-14,50,2,25
gcc-12,12.2.0-14,54,2,27
gcc-12-base,12.2.0-14,282,2,141
gnupg,2.2.40-1.1,30,1,30
gnupg-l10n,2.2.40-1.1,30,1,30
gnupg-utils,2.2.40-1.1,30,1,30
gpg,2.2.40-1.1,31,1,31
gpg-agent,2.2.40-1.1,31,1,31
gpg-wks-client,2.2.40-1.1,30,1,30
gpg-wks-server,2.2.40-1.1,30,1,30
gpgconf,2.2.40-1.1,31,1,31
gpgsm,2.2.40-1.1,30,1,30
gpgv,2.2.40-1.1,141,1,141
krb5-locales,1.20.1-2+deb12u1,8,1,8
libaom3,3.6.0-1,22,1,22
libapt-pkg6.0,2.6.1,141,1,141
libasan8,12.2.0-14,54,2,27
libatomic1,12.2.0-14,54,2,27
libbinutils,2.40-2,229,40,5
libblkid1,2.38.1-5+b1,142,1,142
libc-bin,2.36-9+deb12u3,335,9,37
libc-dev-bin,2.36-9+deb12u3,114,9,12
libc-devtools,2.36-9+deb12u3,35,7,5
libc6,2.36-9+deb12u3,349,9,38
libc6-dev,2.36-9+deb12u3,121,9,13
libcc1-0,12.2.0-14,54,2,27
libctf-nobfd0,2.40-2,229,40,5
libctf0,2.40-2,229,40,5
libdav1d6,1.0.0-2,22,1,22
libde265-0,1.0.11-1,44,2,22
libgcc-12-dev,12.2.0-14,54,2,27
libgcc-s1,12.2.0-14,284,2,142
libgcrypt20,1.10.1-3,143,2,71
libgnutls30,3.7.9-2,145,1,145
libgomp1,12.2.0-14,70,2,35
libgprofng0,2.40-2,229,40,5
libgssapi-krb5-2,1.20.1-2+deb12u1,39,1,39
libheif1,1.15.1-1,22,1,22
libitm1,12.2.0-14,54,2,27
libjansson4,2.14-2,29,1,29
libjbig0,2.1-6.1,32,1,32
libk5crypto3,1.20.1-2+deb12u1,39,1,39
libkrb5-3,1.20.1-2+deb12u1,39,1,39
libkrb5support0,1.20.1-2+deb12u1,39,1,39
libldap-2.5-0,2.5.13+dfsg-5,275,5,55
libldap-common,2.5.13+dfsg-5,95,5,19
liblsan0,12.2.0-14,54,2,27
libmount1,2.38.1-5+b1,142,1,142
libnghttp2-14,1.52.0-1,54,1,54
libperl5.36,5.36.0-7,117,4,29
libpng16-16,1.6.39-2,37,2,18
libpython3.11,3.11.2-6,75,5,15
libpython3.11-dev,3.11.2-6,65,5,13
libpython3.11-minimal,3.11.2-6,160,5,32
libpython3.11-stdlib,3.11.2-6,160,5,32
libquadmath0,12.2.0-14,54,2,27
libsmartcols1,2.38.1-5+b1,141,1,141
libsqlite3-0,3.40.1-2,128,4,32
libssl3,3.0.11-1~deb12u2,93,3,31
libstdc++-12-dev,12.2.0-14,54,2,27
libstdc++6,12.2.0-14,284,2,142
libsystemd0,252.17-1~deb12u1,172,4,43
libtiff6,4.5.0-6,510,17,30
libtsan2,12.2.0-14,54,2,27
libubsan1,12.2.0-14,54,2,27
libudev1,252.17-1~deb12u1,172,4,43
libuuid1,2.38.1-5+b1,143,1,143
linux-libc-dev,6.1.55-1,1605,132,12
login,1:4.13+dfsg1-1+b1,705,5,141
mount,2.38.1-5+b1,141,1,141
openssl,3.0.11-1~deb12u2,84,3,28
passwd,1:4.13+dfsg1-1+b1,705,5,141
patch,2.7.6-7,532,4,133
perl,5.36.0-7,109,4,27
perl-base,5.36.0-7,435,4,108
perl-modules-5.36,5.36.0-7,117,4,29
python3-pip,23.0.1+dfsg-1,18,2,9
python3.11,3.11.2-6,160,5,32
python3.11-dev,3.11.2-6,65,5,13
python3.11-minimal,3.11.2-6,160,5,32
sudo,1.9.13p3-1+deb12u1,7,1,7
sysvinit-utils,3.06-4,141,1,141
tar,1.34+dfsg-1.2,429,3,143
util-linux,2.38.1-5+b1,141,1,141
util-linux-extra,2.38.1-5+b1,141,1,141
vim,2:9.0.1378-2,304,19,16
vim-common,2:9.0.1378-2,304,19,16
vim-runtime,2:9.0.1378-2,304,19,16
xxd,2:9.0.1378-2,133,19,7
zlib1g,1:1.2.13.dfsg-1,145,1,145
zlib1g-dev,1:1.2.13.dfsg-1,24,1,24
grpc,1.52.0,3,3,1
uri,0.12.1,17,1,17
apt,1.4.8,135,3,45
binutils,2.28-5,3720,93,40
bsdutils,1:2.29.2-1,39,3,13
bzr,2.7.0+bzr6619-7,3,1,3
ca-certificates,20161130+nmu1,17,1,17
coreutils,8.26-3,102,1,102
cpp-6,6.3.0-18,8,2,4
curl,7.52.1-5+deb9u2,54,27,2
debian-archive-keyring,2017.5,70,1,70
dirmngr,2.1.18-8~deb9u1,36,4,9
dpkg,1.18.24,26,1,26
e2fslibs,1.43.4-2,231,3,77
e2fsprogs,1.43.4-2,231,3,77
g++-6,6.3.0-18,8,2,4
gcc-6,6.3.0-18,8,2,4
gcc-6-base,6.3.0-18,22,2,11
git,1:2.11.0-3+deb9u2,91,13,7
git-man,1:2.11.0-3+deb9u2,91,13,7
gnupg,2.1.18-8~deb9u1,36,4,9
gnupg-agent,2.1.18-8~deb9u1,36,4,9
gpgv,2.1.18-8~deb9u1,76,4,19
gzip,1.6-5+b1,99,1,99
inetutils-ping,2:1.9.4-2+b1,39,3,13
libapr1,1.5.2-5,36,1,36
libaprutil1,1.5.4-3,36,1,36
libapt-pkg5.0,1.4.8,129,3,43
libasan3,6.3.0-18,8,2,4
libatomic1,6.3.0-18,8,2,4
libblkid1,2.29.2-1,39,3,13
libbsd0,0.8.3-1,64,1,64
libbz2-1.0,1.0.6-8.1,119,2,59
libc-bin,2.24-11+deb9u1,120,10,12
libc-dev-bin,2.24-11+deb9u1,40,10,4
libc6,2.24-11+deb9u1,110,10,11
libc6-dev,2.24-11+deb9u1,40,10,4
libcc1-0,6.3.0-18,8,2,4
libcilkrts5,6.3.0-18,8,2,4
libcomerr2,1.43.4-2,240,3,80
libcurl3,7.52.1-5+deb9u2,54,27,2
libcurl3-gnutls,7.52.1-5+deb9u2,54,27,2
libdb5.3,5.3.28-12+deb9u1,97,1,97
libdpkg-perl,1.18.24,9,1,9
libelf1,0.168-1,540,9,60
libexpat1,2.2.0-2+deb9u1,896,16,56
libfdisk1,2.29.2-1,39,3,13
libgcc-6-dev,6.3.0-18,8,2,4
libgcc1,1:6.3.0-18,22,2,11
libgcrypt20,1.7.6-2+deb9u2,76,4,19
libglib2.0-0,2.50.3-2,245,7,35
libgmp10,2:6.1.2+dfsg-1,67,1,67
libgnutls30,3.5.8-5+deb9u3,140,7,20
libgomp1,6.3.0-18,8,2,4
libgssapi-krb5-2,1.15-1+deb9u1,406,7,58
libhogweed4,3.3-1+b2,180,3,60
libidn11,1.33-1,62,1,62
libitm1,6.3.0-18,8,2,4
libk5crypto3,1.15-1+deb9u1,406,7,58
libkrb5-3,1.15-1+deb9u1,406,7,58
libkrb5support0,1.15-1+deb9u1,406,7,58
libldap-2.4-2,2.4.44+dfsg-5+deb9u1,288,18,16
libldap-common,2.4.44+dfsg-5+deb9u1,288,18,16
liblsan0,6.3.0-18,8,2,4
liblz4-1,0.0~r131-2+b1,188,2,94
liblzma5,5.2.2-1.2+b1,100,1,100
libmount1,2.29.2-1,39,3,13
libmpx2,6.3.0-18,8,2,4
libncurses5,6.0+20161126-1+deb9u1,50,5,10
libncursesw5,6.0+20161126-1+deb9u1,50,5,10
libnettle6,3.3-1+b2,195,3,65
libnghttp2-14,1.18.1-1,180,4,45
libp11-kit0,0.23.3-2,120,2,60
libpcre3,2:8.39-3,100,1,100
libperl5.24,5.24.1-3+deb9u2,72,12,6
libprocps6,2:3.3.12-3,45,5,9
libpython2.7-minimal,2.7.13-2,72,18,4
libpython2.7-stdlib,2.7.13-2,72,18,4
libquadmath0,6.3.0-18,8,2,4
libsasl2-2,2.1.27~101-g0780600+dfsg-3,100,2,50
libsasl2-modules-db,2.1.27~101-g0780600+dfsg-3,100,2,50
libsepol1,2.6-2,412,4,103
libsmartcols1,2.29.2-1,39,3,13
libsqlite3-0,3.16.2-5,68,17,4
libss2,1.43.4-2,231,3,77
libssh2-1,1.7.0-1,374,11,34
libssl1.0.2,1.0.2l-2+deb9u1,54,18,3
libssl1.1,1.1.0f-3+deb9u1,190,19,10
libstdc++-6-dev,6.3.0-18,8,2,4
libstdc++6,6.3.0-18,22,2,11
libsvn1,1.9.5-1+deb9u1,32,4,8
libsystemd0,232-25+deb9u1,180,18,10
libtasn1-6,4.10-1.1,14,2,7
libtinfo5,6.0+20161126-1+deb9u1,50,5,10
libtsan0,6.3.0-18,8,2,4
libubsan0,6.3.0-18,8,2,4
libudev1,232-25+deb9u1,198,18,11
libuuid1,2.29.2-1,39,3,13
linux-libc-dev,4.9.51-1,1370,685,2
login,1:4.4-4.1,267,3,89
mercurial,4.0-1+deb9u1,180,6,30
mercurial-common,4.0-1+deb9u1,180,6,30
mount,2.29.2-1,39,3,13
multiarch-support,2.24-11+deb9u1,120,10,12
ncurses-base,6.0+20161126-1+deb9u1,50,5,10
ncurses-bin,6.0+20161126-1+deb9u1,50,5,10
openssh-client,1:7.4p1-10+deb9u1,12,6,2
openssl,1.1.0f-3+deb9u1,133,19,7
passwd,1:4.4-4.1,267,3,89
perl,5.24.1-3+deb9u2,72,12,6
perl-base,5.24.1-3+deb9u2,180,12,15
perl-modules-5.24,5.24.1-3+deb9u2,72,12,6
procps,2:3.3.12-3,45,5,9
python-bzrlib,2.7.0+bzr6619-7,3,1,3
python2.7,2.7.13-2,54,18,3
python2.7-minimal,2.7.13-2,54,18,3
sensible-utils,0.0.9,110,2,55
subversion,1.9.5-1+deb9u1,32,4,8
tar,1.29b-1.1,98,1,98
tzdata,2017b-1,42,6,7
util-linux,2.29.2-1,39,3,13
wget,1.18-5+deb9u1,15,3,5
zlib1g,1:1.2.8.dfsg-5,105,1,105
apt,2.2.4,834,1,834
bash,5.1-2+deb11u1,1544,2,772
binutils,2.35.2-2,7360,40,184
binutils-arm-linux-gnueabihf,2.35.2-2,2040,40,51
binutils-common,2.35.2-2,7360,40,184
bsdutils,1:2.36.1-8+deb11u1,782,1,782
coreutils,8.32-4,674,2,337
cpp-10,10.2.1-6,187,1,187
curl,7.74.0-1.3+deb11u7,3360,16,210
dirmngr,2.2.27-2+deb11u2,451,1,451
e2fsprogs,1.46.2-2,588,1,588
g++-10,10.2.1-6,175,1,175
gcc-10,10.2.1-6,184,1,184
gcc-10-base,10.2.1-6,811,1,811
gcc-9-base,9.3.0-22,581,1,581
git,1:2.30.2-1+deb11u2,560,5,112
git-man,1:2.30.2-1+deb11u2,555,5,111
gnupg,2.2.27-2+deb11u2,450,1,450
gnupg-l10n,2.2.27-2+deb11u2,451,1,451
gnupg-utils,2.2.27-2+deb11u2,451,1,451
gpg,2.2.27-2+deb11u2,451,1,451
gpg-agent,2.2.27-2+deb11u2,451,1,451
gpg-wks-client,2.2.27-2+deb11u2,451,1,451
gpg-wks-server,2.2.27-2+deb11u2,451,1,451
gpgconf,2.2.27-2+deb11u2,451,1,451
gpgsm,2.2.27-2+deb11u2,451,1,451
gpgv,2.2.27-2+deb11u2,745,1,745
libapt-pkg6.0,2.2.4,834,1,834
libasan6,10.2.1-6,184,1,184
libatomic1,10.2.1-6,263,1,263
libbinutils,2.35.2-2,7360,40,184
libblkid1,2.36.1-8+deb11u1,780,1,780
libbpf0,1:0.3-2,1460,4,365
libc-bin,2.31-13+deb11u6,2220,10,222
libc-dev-bin,2.31-13+deb11u6,460,10,46
libc6,2.31-13+deb11u6,2310,10,231
libc6-dev,2.31-13+deb11u6,460,10,46
libcap2,1:2.44-1,798,2,399
libcap2-bin,1:2.44-1,762,2,381
libcc1-0,10.2.1-6,184,1,184
libcom-err2,1.46.2-2,848,1,848
libctf-nobfd0,2.35.2-2,7360,40,184
libctf0,2.35.2-2,7360,40,184
libcurl3-gnutls,7.74.0-1.3+deb11u7,1008,16,63
libcurl4,7.74.0-1.3+deb11u7,3376,16,211
libdb5.3,5.3.28+dfsg1-0.8,836,1,836
libelf1,0.183-1,413,1,413
libexpat1,2.2.10-2+deb11u5,268,1,268
libext2fs2,1.46.2-2,588,1,588
libgcc-10-dev,10.2.1-6,184,1,184
libgcc-s1,10.2.1-6,836,1,836
libgcrypt20,1.8.7-6,1696,2,848
libglib2.0-0,2.66.8-1,1152,4,288
libgnutls30,3.7.1-5+deb11u3,600,1,600
libgomp1,10.2.1-6,225,1,225
libgssapi-krb5-2,1.18.3-6+deb11u3,564,2,282
libk5crypto3,1.18.3-6+deb11u3,562,2,281
libkrb5-3,1.18.3-6+deb11u3,564,2,282
libkrb5support0,1.18.3-6+deb11u3,564,2,282
libldap-2.4-2,2.4.57+dfsg-3+deb11u1,3055,5,611
libmount1,2.36.1-8+deb11u1,780,1,780
libncurses6,6.2+20201114-2+deb11u1,217,1,217
libncursesw6,6.2+20201114-2+deb11u1,225,1,225
libnghttp2-14,1.43.0-1,612,1,612
libpcre2-8-0,10.36-2+deb11u1,667,1,667
libpcre3,2:8.39-13,4350,5,870
libperl5.32,5.32.1-4+deb11u2,1968,4,492
libprocps8,2:3.3.17-5,682,1,682
libsepol1,3.1-1,3356,4,839
libsmartcols1,2.36.1-8+deb11u1,781,1,781
libsqlite3-0,3.34.1-3,2416,4,604
libss2,1.46.2-2,592,1,592
libssh2-1,1.9.0-2,610,1,610
libssl1.1,1.1.1n-0+deb11u5,1070,5,214
libstdc++-10-dev,10.2.1-6,176,1,176
libstdc++6,10.2.1-6,830,1,830
libsystemd0,247.3-7+deb11u4,2640,5,528
libtinfo6,6.2+20201114-2+deb11u1,239,1,239
libubsan1,10.2.1-6,184,1,184
libudev1,247.3-7+deb11u4,2615,5,523
libuuid1,2.36.1-8+deb11u1,784,1,784
libxtables12,1.8.7-1,378,1,378
libzstd1,1.4.8+dfsg-2.1,836,1,836
linux-libc-dev,5.10.191-1,4968,138,36
login,1:4.8.1-1,5004,6,834
logsave,1.46.2-2,588,1,588
mount,2.36.1-8+deb11u1,781,1,781
ncurses-base,6.2+20201114-2+deb11u1,229,1,229
ncurses-bin,6.2+20201114-2+deb11u1,217,1,217
net-tools,1.60+git20181103.0eebece-1,330,1,330
openssl,1.1.1n-0+deb11u5,1045,5,209
passwd,1:4.8.1-1,5034,6,839
perl,5.32.1-4+deb11u2,1964,4,491
perl-base,5.32.1-4+deb11u2,3324,4,831
perl-modules-5.32,5.32.1-4+deb11u2,1968,4,492
procps,2:3.3.17-5,682,1,682
sudo,1.9.5p2-3+deb11u1,1188,4,297
sysvinit-utils,2.96-7+deb11u1,771,1,771
tar,1.34+dfsg-1,2604,3,868
udev,247.3-7+deb11u4,1155,5,231
util-linux,2.36.1-8+deb11u1,783,1,783
zlib1g,1:1.2.11.dfsg-2+deb11u2,658,1,658
curl,7.61.1-9.ph3,245,49,5
curl-libs,7.61.1-9.ph3,245,49,5
e2fsprogs-libs,1.45.5-3.ph3,5,1,5
elfutils-libelf,0.176-1.ph3,16,2,8
expat,2.2.9-2.ph3,85,17,5
expat-libs,2.2.9-2.ph3,85,17,5
glibc,2.28-11.ph3,28,7,4
krb5,1.17-1.ph3,40,5,8
libsolv,0.6.35-5.ph3,5,1,5
libssh2,1.9.0-2.ph3,5,1,5
lua,5.3.5-2.ph3,28,4,7
ncurses,6.1-2.ph3,10,2,5
ncurses-libs,6.1-2.ph3,10,2,5
nss-libs,3.44-5.ph3,35,7,5
openssl,1.0.2x-2.ph3,75,15,5
python3,3.7.5-12.ph3,32,16,2
python3-libs,3.7.5-12.ph3,32,16,2
python3-setuptools,3.7.5-12.ph3,32,16,2
python3-xml,3.7.5-12.ph3,32,16,2
rpm-libs,4.14.2-9.ph3,20,4,5
sqlite-libs,3.32.1-2.ph3,10,2,5
util-linux-libs,2.32.1-3.ph3,10,2,5
xz,5.2.4-1.ph3,8,1,8
xz-libs,5.2.4-1.ph3,8,1,8
zlib,1.2.11-1.ph3,24,3,8
zstd-libs,1.4.5-1.ph3,5,1,5
Flask,2.0.1,2,1,2
Werkzeug,2.0.1,6,3,2
certifi,2021.5.30,64,2,32
requests,2.26.0,49,1,49
urllib3,1.26.6,40,2,20
apt,1.4.6,3,3,1
apt-transport-https,1.4.6,3,3,1
bzip2,1.0.6-8.1,59,2,29
curl,7.52.1-5,31,31,1
dirmngr,2.1.18-6,4,4,1
dpkg-dev,1.18.24,3,1,3
file,1:5.30-1,5,5,1
gnupg,2.1.18-6,4,4,1
gnupg-agent,2.1.18-6,4,4,1
gnupg-l10n,2.1.18-6,4,4,1
gpgv,2.1.18-6,20,4,5
krb5-locales,1.15-1,8,8,1
libapt-pkg5.0,1.4.6,3,3,1
libcurl3,7.52.1-5,31,31,1
libcurl3-gnutls,7.52.1-5,31,31,1
libcurl4-openssl-dev,7.52.1-5,31,31,1
libdb5.3,5.3.28-12+b1,12,2,6
libfreetype6,2.6.3-3.2,164,4,41
libgcrypt20,1.7.6-2,6,6,1
libgd3,2.2.4-2,22,11,2
libgnutls30,3.5.8-5+deb9u1,7,7,1
libgssapi-krb5-2,1.15-1,32,8,4
libhogweed4,3.3-1+b1,12,3,4
libicu57,57.1-6,20,4,5
libidn2-0,0.16-1,4,1,4
libjpeg62-turbo,1:1.5.1-2,220,5,44
libk5crypto3,1.15-1,32,8,4
libkrb5-3,1.15-1,32,8,4
libkrb5support0,1.15-1,32,8,4
libldap-2.4-2,2.4.44+dfsg-5,18,18,1
libldap-common,2.4.44+dfsg-5,18,18,1
libmagic-mgc,1:5.30-1,5,5,1
libmagic1,1:5.30-1,5,5,1
libncursesw5,6.0+20161126-1,85,17,5
libnettle6,3.3-1+b1,12,3,4
libpcap0.8,1.8.1-3,3,1,3
libperl5.24,5.24.1-3,14,14,1
libpng16-16,1.6.28-1,54,2,27
libpython3.5-minimal,3.5.3-1,156,26,6
libpython3.5-stdlib,3.5.3-1,156,26,6
libsasl2-modules,2.1.27~101-g0780600+dfsg-3,18,2,9
libssl1.0.2,1.0.2l-2,20,20,1
libssl1.1,1.1.0f-3,42,21,2
libsystemd0,232-25,19,19,1
libtiff5,4.0.8-2+deb9u1,192,32,6
libtinfo5,6.0+20161126-1,85,17,5
libudev1,232-25,19,19,1
libwebp6,0.5.2-1,319,11,29
libx11-6,2:1.6.4-3,102,11,9
libx11-data,2:1.6.4-3,102,11,9
libxml2,2.9.4+dfsg1-2.2,56,28,2
libxslt1.1,1.1.29-2.1,104,4,26
linux-libc-dev,4.9.30-2+deb9u2,730,730,1
ncurses-base,6.0+20161126-1,102,17,6
ncurses-bin,6.0+20161126-1,102,17,6
nginx,1.13.3-1~stretch,3,3,1
nodejs,6.11.1-2nodesource1~stretch1,17,17,1
openssl,1.1.0f-3,42,21,2
patch,2.7.5-1+b2,36,4,9
perl,5.24.1-3,14,14,1
perl-base,5.24.1-3,14,14,1
perl-modules-5.24,5.24.1-3,14,14,1
python3.5,3.5.3-1,156,26,6
python3.5-minimal,3.5.3-1,156,26,6
xz-utils,5.2.2-1.2+b1,43,1,43
acorn,5.7.3,14,1,14
ajv,4.11.8,10,1,10
ansi-html,0.0.5,6,1,6
ansi-regex,3.0.0,220,1,220
async,2.6.2,4,1,4
axios,0.16.2,12,4,3
braces,1.8.5,28,2,14
color-string,0.3.0,8,1,8
cookiejar,2.1.2,6,1,6
d3-color,1.2.3,3,1,3
debug,2.6.8,12,2,6
debug,3.2.6,80,1,80
decode-uri-component,0.2.0,121,1,121
diff,3.2.0,4,1,4
eventsource,0.1.6,7,1,7
follow-redirects,1.7.0,8,2,4
glob-parent,2.0.0,22,1,22
growl,1.9.2,6,1,6
handlebars,4.1.0,33,11,3
hawk,3.1.3,38,1,38
hoek,2.16.3,42,1,42
hosted-git-info,2.7.1,29,1,29
http-proxy,1.17.0,7,1,7
is-svg,2.1.0,16,2,8
js-yaml,3.12.2,6,2,3
js-yaml,3.7.0,24,2,12
json-schema,0.2.3,163,1,163
json5,0.5.1,18,1,18
json5,1.0.1,104,1,104
jsonpointer,4.0.1,14,1,14
kind-of,6.0.2,54,1,54
loader-utils,0.2.17,16,1,16
loader-utils,1.2.3,132,3,44
lodash,4.17.11,40,4,10
lodash-es,4.17.11,16,4,4
mime,1.3.6,4,1,4
minimatch,3.0.4,217,1,217
minimist,0.0.8,230,2,115
minimist,1.2.0,226,2,113
mixin-deep,1.3.1,8,1,8
moment,2.18.1,27,3,9
moment,2.24.0,42,2,21
node-fetch,1.7.3,24,2,12
open,0.0.5,16,2,8
path-parse,1.0.6,92,1,92
postcss,5.2.18,24,2,12
postcss,6.0.23,62,2,31
qs,6.4.0,13,1,13
qs,6.5.2,142,1,142
qs,6.6.0,5,1,5
react-dev-utils,0.4.2,6,1,6
request,2.81.0,13,1,13
semver,5.6.0,38,1,38
serialize-javascript,1.6.1,6,2,3
set-value,0.4.3,18,2,9
set-value,2.0.0,18,2,9
shelljs,0.7.8,8,2,4
sockjs,0.3.19,9,1,9
ssri,5.3.0,29,1,29
tough-cookie,2.3.4,8,1,8
ua-parser-js,0.7.19,12,4,3
url-parse,1.4.4,21,7,3
webpack-dev-server,1.16.5,3,1,3
websocket-extensions,0.1.3,10,2,5
y18n,3.2.1,73,1,73
y18n,4.0.0,80,1,80
yargs-parser,4.2.1,11,1,11
apparmor,2.8.95~2430-0ubuntu5.3,2,1,2
apt,1.0.1ubuntu2.11,6,2,3
apt-utils,1.0.1ubuntu2.11,6,2,3
bash,4.3-7ubuntu1.5,21,3,7
busybox-initramfs,1:1.21.0-1ubuntu1,150,10,15
cpio,2.11+dfsg-1ubuntu1.1,4,2,2
curl,7.35.0-1ubuntu2.10,32,16,2
eject,2.1.5+deb1+cvs20081104-13.1,10,1,10
file,1:5.14-2ubuntu3.3,55,5,11
gnupg,1.4.16-1ubuntu2.3,18,3,6
gpgv,1.4.16-1ubuntu2.3,18,3,6
isc-dhcp-client,4.2.4-7ubuntu12.4,20,4,5
isc-dhcp-common,4.2.4-7ubuntu12.4,20,4,5
krb5-locales,1.12+dfsg-2ubuntu5.2,45,9,5
libapparmor-dev,2.8.95~2430-0ubuntu5.3,1,1,1
libapparmor-perl,2.8.95~2430-0ubuntu5.3,2,1,2
libapparmor1,2.8.95~2430-0ubuntu5.3,2,1,2
libapt-inst1.5,1.0.1ubuntu2.11,6,2,3
libapt-pkg4.12,1.0.1ubuntu2.11,6,2,3
libasn1-8-heimdal,1.6~git20131207+dfsg-1ubuntu1.1,6,1,6
libc-bin,2.19-0ubuntu6.7,120,24,5
libc6,2.19-0ubuntu6.7,72,24,3
libcurl3,7.35.0-1ubuntu2.10,32,16,2
libcurl3-gnutls,7.35.0-1ubuntu2.6,93,31,3
libdb5.3,5.3.28-3ubuntu3,12,1,12
libdbus-1-3,1.6.18-0ubuntu4.3,7,1,7
libexpat1,2.1.0-4ubuntu1.1,20,4,5
libffi6,3.1~rc1+r3.0.13-12ubuntu0.1,8,1,8
libfreetype6,2.5.2-1ubuntu2.5,16,4,4
libgcrypt11,1.5.3-2ubuntu4.3,15,3,5
libgd3,2.1.0-3ubuntu0.5,13,13,1
libglib2.0-0,2.40.2-0ubuntu1,12,2,6
libglib2.0-data,2.40.2-0ubuntu1,12,2,6
libgnutls-openssl27,2.12.23-12ubuntu2.4,10,5,2
libgnutls26,2.12.23-12ubuntu2.4,10,5,2
libgssapi-krb5-2,1.12+dfsg-2ubuntu5.2,45,9,5
libgssapi3-heimdal,1.6~git20131207+dfsg-1ubuntu1.1,6,1,6
libhcrypto4-heimdal,1.6~git20131207+dfsg-1ubuntu1.1,6,1,6
libheimbase1-heimdal,1.6~git20131207+dfsg-1ubuntu1.1,6,1,6
libheimntlm0-heimdal,1.6~git20131207+dfsg-1ubuntu1.1,6,1,6
libhx509-5-heimdal,1.6~git20131207+dfsg-1ubuntu1.1,6,1,6
libidn11,1.28-1ubuntu2,48,6,8
libjpeg-turbo8,1.3.0-0ubuntu2,30,6,5
libk5crypto3,1.12+dfsg-2ubuntu5.2,45,9,5
libkrb5-26-heimdal,1.6~git20131207+dfsg-1ubuntu1.1,6,1,6
libkrb5-3,1.12+dfsg-2ubuntu5.2,45,9,5
libkrb5support0,1.12+dfsg-2ubuntu5.2,45,9,5
libldap-2.4-2,2.4.31-1+nmu2ubuntu8.2,5,1,5
libmagic1,1:5.14-2ubuntu3.3,55,5,11
libpam-modules,1.1.8-1ubuntu2,21,3,7
libpam-modules-bin,1.1.8-1ubuntu2,21,3,7
libpam-runtime,1.1.8-1ubuntu2,21,3,7
libpam0g,1.1.8-1ubuntu2,21,3,7
libpcre3,1:8.31-2ubuntu2.1,33,11,3
libpng12-0,1.2.50-1ubuntu2.14.04.2,10,1,10
libprocps3,1:3.3.9-1ubuntu2.2,55,5,11
libpython3.4-minimal,3.4.3-1ubuntu1~14.04.3,45,9,5
libpython3.4-stdlib,3.4.3-1ubuntu1~14.04.3,45,9,5
libroken18-heimdal,1.6~git20131207+dfsg-1ubuntu1.1,6,1,6
librtmp0,2.4+20121230.gitdf6c518-1,24,3,8
libsqlite3-0,3.8.2-1ubuntu2.1,11,1,11
libssl1.0.0,1.0.1f-1ubuntu2.16,64,32,2
libsystemd-id128-0,204-5ubuntu20.20,2,2,1
libsystemd-id128-dev,204-5ubuntu20.20,2,2,1
libsystemd-journal-dev,204-5ubuntu20.20,2,2,1
libsystemd-journal0,204-5ubuntu20.20,2,2,1
libtasn1-6,3.4-3ubuntu0.3,9,3,3
libtiff5,4.0.3-7ubuntu0.4,182,91,2
libudev1,204-5ubuntu20.18,6,2,3
libwind0-heimdal,1.6~git20131207+dfsg-1ubuntu1.1,6,1,6
libx11-6,2:1.6.2-1ubuntu2,45,5,9
libx11-data,2:1.6.2-1ubuntu2,45,5,9
libxfont1,1:1.4.7-1ubuntu0.2,9,3,3
libxml2,2.9.1+dfsg1-3ubuntu4.7,128,32,4
libxpm4,1:3.5.10-1,2,1,2
libxslt1.1,1.1.28-2build1,22,11,2
login,1:4.1.5.1-1ubuntu9.2,10,2,5
multiarch-support,2.19-0ubuntu6.7,120,24,5
nginx,1.4.6-1ubuntu3.7,2,2,1
nginx-common,1.4.6-1ubuntu3.7,2,2,1
nginx-core,1.4.6-1ubuntu3.7,2,2,1
ntpdate,1:4.2.6.p5+dfsg-3ubuntu2.14.04.8,145,29,5
openssh-client,1:6.6p1-2ubuntu2.8,9,9,1
openssl,1.0.1f-1ubuntu2.21,11,11,1
passwd,1:4.1.5.1-1ubuntu9.2,10,2,5
perl,5.18.2-2ubuntu1,72,12,6
perl-base,5.18.2-2ubuntu1,72,12,6
perl-modules,5.18.2-2ubuntu1,72,12,6
procps,1:3.3.9-1ubuntu2.2,55,5,11
python3.4,3.4.3-1ubuntu1~14.04.3,45,9,5
python3.4-minimal,3.4.3-1ubuntu1~14.04.3,45,9,5
sudo,1.8.9p5-1ubuntu1.2,5,1,5
tar,1.27.1-1,8,1,8
udev,204-5ubuntu20.18,6,2,3
vim-common,2:7.4.052-1ubuntu3,9,1,9
vim-tiny,2:7.4.052-1ubuntu3,9,1,9
wget,1.15-1ubuntu1.14.04.1,21,7,3
org.eclipse.jetty:jetty-http,8.1.14.v20131031,11,1,11
org.eclipse.jetty:jetty-server,8.1.14.v20131031,121,11,11
coreutils,8.32-4+b1,1066,2,533
libc-bin,2.31-13+deb11u7,3213,9,357
libc6,2.31-13+deb11u7,3411,9,379
libgssapi-krb5-2,1.18.3-6+deb11u4,351,1,351
libk5crypto3,1.18.3-6+deb11u4,351,1,351
libkrb5-3,1.18.3-6+deb11u4,351,1,351
